timestamp,pool_hashrate,network_hashrate,network_height,pool_blocks_found,last_block_found,last_template_fetched,round_hashrate,round_hashes,payment_threshold,pool_fee,pool_port,pool_ssl_port,allow_self_select,connected_miners
2025-05-18 08:35:57,22782320,5025151012,3414266,3,1747468615,1747557349,0,1550154080000,0,0,4242,0,1,1
2025-05-18 08:35:59,22782320,5025151012,3414266,3,1747468615,1747557349,0,1550224080000,0,0,4242,0,1,1
2025-05-18 08:36:00,24115680,5025151012,3414266,3,1747468615,1747557359,0,1550274080000,0,0,4242,0,1,1
2025-05-18 08:36:02,24115680,5025151012,3414266,3,1747468615,1747557359,0,1550384080000,0,0,4242,0,1,1
2025-05-18 08:36:04,24115680,5025151012,3414266,3,1747468615,1747557359,0,1550444080000,0,0,4242,0,1,1
2025-05-18 08:36:05,24115680,5025151012,3414266,3,1747468615,1747557359,0,1550464080000,0,0,4242,0,1,1
2025-05-18 08:36:07,24115680,5025151012,3414266,3,1747468615,1747557359,0,1550514080000,0,0,4242,0,1,1
2025-05-18 08:36:08,24115680,5025151012,3414266,3,1747468615,1747557359,0,1550564080000,0,0,4242,0,1,1
2025-05-18 08:36:10,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550614080000,0,0,4242,0,1,1
2025-05-18 08:36:11,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550654080000,0,0,4242,0,1,1
2025-05-18 08:36:13,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550754080000,0,0,4242,0,1,1
2025-05-18 08:36:14,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550794080000,0,0,4242,0,1,1
2025-05-18 08:36:16,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550844080000,0,0,4242,0,1,1
2025-05-18 08:36:17,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550884080000,0,0,4242,0,1,1
2025-05-18 08:36:19,25181305,5025151012,3414266,3,1747468615,1747557369,0,1550964080000,0,0,4242,0,1,1
2025-05-18 08:36:20,26052042,5024915061,3414267,3,1747468615,1747557379,0,1551014080000,0,0,4242,0,1,1
2025-05-18 08:36:22,26052042,5024915061,3414267,3,1747468615,1747557379,0,1551044080000,0,0,4242,0,1,1
2025-05-18 08:36:23,26052042,5024915061,3414267,3,1747468615,1747557379,0,1551144080000,0,0,4242,0,1,1
2025-05-18 08:36:25,26052042,5024915061,3414267,3,1747468615,1747557379,0,1551184080000,0,0,4242,0,1,1
2025-05-18 08:36:26,26052042,5024915061,3414267,3,1747468615,1747557379,0,1551244080000,0,0,4242,0,1,1
2025-05-18 08:36:28,26052042,5024915061,3414267,3,1747468615,1747557379,0,1551344080000,0,0,4242,0,1,1
2025-05-18 08:36:29,27656016,5024915061,3414267,3,1747468615,1747557389,0,1551464080000,0,0,4242,0,1,1
2025-05-18 08:36:31,27656016,5024915061,3414267,3,1747468615,1747557389,0,1551514080000,0,0,4242,0,1,1
2025-05-18 08:36:32,27656016,5024915061,3414267,3,1747468615,1747557389,0,1551714080000,0,0,4242,0,1,1
2025-05-18 08:36:34,27656016,5024915061,3414267,3,1747468615,1747557389,0,1551864080000,0,0,4242,0,1,1
2025-05-18 08:36:36,27656016,5024915061,3414267,3,1747468615,1747557389,0,1552024080000,0,0,4242,0,1,1
2025-05-18 08:36:37,27656016,5024915061,3414267,3,1747468615,1747557389,0,1552204080000,0,0,4242,0,1,1
2025-05-18 08:36:39,27656016,5024915061,3414267,3,1747468615,1747557389,0,1552374080000,0,0,4242,0,1,1
2025-05-18 08:36:40,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552464080000,0,0,4242,0,1,1
2025-05-18 08:36:42,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552584080000,0,0,4242,0,1,1
2025-05-18 08:36:43,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552644080000,0,0,4242,0,1,1
2025-05-18 08:36:45,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552694080000,0,0,4242,0,1,1
2025-05-18 08:36:46,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552754080000,0,0,4242,0,1,1
2025-05-18 08:36:48,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552814080000,0,0,4242,0,1,1
2025-05-18 08:36:49,33263036,5024915061,3414267,3,1747468615,1747557399,0,1552844080000,0,0,4242,0,1,1
2025-05-18 08:36:51,34641944,5026527975,3414268,3,1747468615,1747557409,0,1552904080000,0,0,4242,0,1,1
2025-05-18 08:36:52,34641944,5026527975,3414268,3,1747468615,1747557409,0,1552944080000,0,0,4242,0,1,1
2025-05-18 08:36:54,34641944,5026527975,3414268,3,1747468615,1747557409,0,1553104080000,0,0,4242,0,1,1
2025-05-18 08:36:55,34641944,5026527975,3414268,3,1747468615,1747557409,0,1553304080000,0,0,4242,0,1,1
2025-05-18 08:36:57,34641944,5026527975,3414268,3,1747468615,1747557409,0,1553454080000,0,0,4242,0,1,1
2025-05-18 08:36:58,34641944,5026527975,3414268,3,1747468615,1747557409,0,1553554080000,0,0,4242,0,1,1
2025-05-18 08:37:00,37490729,5026527975,3414268,3,1747468615,1747557419,0,1553734080000,0,0,4242,0,1,1
